Biomolecule,Algorithm,PVal
C5H8N2O2[M]+,KCC,2.78648757979511e-08
C5H8N2O2[M]+,KMeans,2.78648757979511e-08
C5H8N2O2[M]+,Recolorize,6.77830398529601e-06
C5H8N2O2[M]+,Supercells,0.491195286492404
C5H8N2O2[M]+,Binning,7.51505575230812e-07
C5H8N2O2[M]+,MultiOtsu,2.26018582190408e-09
C5H8N2O2[M]+,PyTorch,0.066780470182
C7H6O2[M]+,Truth,4.38317403197105e-08
C7H6O2[M]+,Clara,1.65022948571491e-14
C7H6O2[M]+,KCC,8.54993325263467e-13
C7H6O2[M]+,KMeans,8.54993325263467e-13
C7H6O2[M]+,Recolorize,0.00305879762565321
C7H6O2[M]+,Supercells,1.17268111285755e-06
C7H6O2[M]+,Binning,0.000681225963908062
C7H6O2[M]+,MultiOtsu,5.77522091191004e-14
C7H6O2[M]+,PyTorch,9.30437742887072e-09
C16H22N4O+Na,Truth,2.49487081401772e-16
C16H22N4O+Na,Clara,0.500438251204956
C16H22N4O+Na,KCC,0.349758937697347
C16H22N4O+Na,KMeans,0.349758937697347
C16H22N4O+Na,Recolorize,0.616011106362589
C16H22N4O+Na,Supercells,0.0114359260532754
C16H22N4O+Na,Binning,0.86848083292108
C16H22N4O+Na,MultiOtsu,0.491818331566498
C16H22N4O+Na,PyTorch,4.04296826258652e-13
C3H5NO[M]+,Truth,3.36987071492069e-05
C3H5NO[M]+,Clara,0.0191243796138361
C3H5NO[M]+,KCC,0.985228170537599
C3H5NO[M]+,KMeans,0.985228170537599
C3H5NO[M]+,Recolorize,0.677807474447788
C3H5NO[M]+,Supercells,0.865985974015586
C3H5NO[M]+,Binning,0.302745492146089
C3H5NO[M]+,MultiOtsu,0.703889215842613
C3H5NO[M]+,PyTorch,0.0348786362281737
C12H24O6[M]+,Truth,0.800658423751787
C12H24O6[M]+,Clara,0.158632173535727
C12H24O6[M]+,KCC,0.495594350729828
C12H24O6[M]+,KMeans,0.495594350729828
C12H24O6[M]+,Recolorize,0.00464980196580051
C12H24O6[M]+,Supercells,0.778392719193297
C12H24O6[M]+,Binning,0.00824742449562356
C12H24O6[M]+,MultiOtsu,0.475318743785856
C12H24O6[M]+,PyTorch,0.406705835046918
C5H9NO2+K,Truth,0.504276277780536
C5H9NO2+K,Clara,0.327872179999245
C5H9NO2+K,KCC,0.855269987135117
C5H9NO2+K,KMeans,0.855269987135117
C5H9NO2+K,Recolorize,0.783245442924523
C5H9NO2+K,Supercells,0.00100610562718272
C5H9NO2+K,Binning,0.777659784872539
C5H9NO2+K,MultiOtsu,0.666028346391773
C5H9NO2+K,PyTorch,0.299583829889981
C5H9NO3+K,Truth,0.525197124006404
C5H9NO3+K,Clara,2.99287855609227e-07
C5H9NO3+K,KCC,1.68290204051678e-10
C5H9NO3+K,KMeans,1.68290204051678e-10
C5H9NO3+K,Recolorize,0.0624085882812192
C5H9NO3+K,Supercells,2.05912533062739e-22
C5H9NO3+K,Binning,0.00173725159849318
C5H9NO3+K,MultiOtsu,7.34342452349598e-11
C5H9NO3+K,PyTorch,0.113363932296489
C7H6O5[M]+,Truth,0.525197124006404
C7H6O5[M]+,Clara,2.99287855609227e-07
C7H6O5[M]+,KCC,1.68290204051678e-10
C7H6O5[M]+,KMeans,1.68290204051678e-10
C7H6O5[M]+,Recolorize,0.0624085882812192
C7H6O5[M]+,Supercells,2.05912533062739e-22
C7H6O5[M]+,Binning,0.00173725159849318
C7H6O5[M]+,MultiOtsu,7.34342452349598e-11
C7H6O5[M]+,PyTorch,0.113363932296489
C3H8N2O[M]+,Truth,2.17225527554736e-08
C3H8N2O[M]+,Clara,0.0805263343898335
C3H8N2O[M]+,KCC,0.850299756267114
C3H8N2O[M]+,KMeans,0.850299756267114
C3H8N2O[M]+,Recolorize,0.617037073742244
C3H8N2O[M]+,Supercells,0.036433714385956
C3H8N2O[M]+,Binning,0.569500983465178
C3H8N2O[M]+,MultiOtsu,0.934853181156628
C3H8N2O[M]+,PyTorch,0.0055278527105281
C13H23NO3+Na,Truth,0.800658423751787
C13H23NO3+Na,Clara,0.158632173535727
C13H23NO3+Na,KCC,0.495594350729828
C13H23NO3+Na,KMeans,0.495594350729828
C13H23NO3+Na,Recolorize,0.00464980196580051
C13H23NO3+Na,Supercells,0.778392719193297
C13H23NO3+Na,Binning,0.00824742449562356
C13H23NO3+Na,MultiOtsu,0.475318743785856
C13H23NO3+Na,PyTorch,0.406705835046918
C13H26N4O2+K,Truth,2.8411436246441e-16
C13H26N4O2+K,Clara,0.47182486092871
C13H26N4O2+K,KCC,0.280841018374245
C13H26N4O2+K,KMeans,0.280841018374245
C13H26N4O2+K,Recolorize,0.452922420483147
C13H26N4O2+K,Supercells,0.00313604234277603
C13H26N4O2+K,Binning,0.835463114689629
C13H26N4O2+K,MultiOtsu,0.384216593177274
C13H26N4O2+K,PyTorch,4.98303098248876e-13
C6H10N2O3[M]+,Truth,0.0013507728792428
C6H10N2O3[M]+,Clara,0.641385025082988
C6H10N2O3[M]+,KCC,0.247373043473599
C6H10N2O3[M]+,KMeans,0.247373043473599
C6H10N2O3[M]+,Recolorize,0.000720027625640807
C6H10N2O3[M]+,Supercells,0.26881821721907
C6H10N2O3[M]+,Binning,0.000767678779809501
C6H10N2O3[M]+,MultiOtsu,0.397930139138493
C6H10N2O3[M]+,PyTorch,0.576152104325014
C4H6O5[M]+,Truth,0.398153200634314
C4H6O5[M]+,Clara,0.32857612118173
C4H6O5[M]+,KCC,0.246371188263412
