Counts,Freq,Cluster,Image
True Positive,17485,2,KPMP_uS-X002Y015_Annotations
False Negative,602115,3,KPMP_uS-X002Y015_Annotations
False Positive,492429,3,KPMP_uS-X002Y015_Annotations
True Negative,678224,3,KPMP_uS-X002Y015_Annotations
True Positive,300832,3,KPMP_uS-X002Y015_Annotations
False Negative,275749,4,KPMP_uS-X002Y015_Annotations
False Positive,39145,4,KPMP_uS-X002Y015_Annotations
True Negative,1746633,4,KPMP_uS-X002Y015_Annotations
True Positive,12073,4,KPMP_uS-X002Y015_Annotations
False Negative,25260,5,KPMP_uS-X002Y015_Annotations
False Positive,487324,5,KPMP_uS-X002Y015_Annotations
True Negative,1555174,5,KPMP_uS-X002Y015_Annotations
True Positive,5842,5,KPMP_uS-X002Y015_Annotations
False Negative,1185362,1,KPMP_uS-X002Y019_Annotations
False Positive,332259,1,KPMP_uS-X002Y019_Annotations
True Negative,441976,1,KPMP_uS-X002Y019_Annotations
True Positive,114003,1,KPMP_uS-X002Y019_Annotations
False Negative,249578,2,KPMP_uS-X002Y019_Annotations
False Positive,853107,2,KPMP_uS-X002Y019_Annotations
True Negative,910953,2,KPMP_uS-X002Y019_Annotations
True Positive,59962,2,KPMP_uS-X002Y019_Annotations
False Negative,203596,3,KPMP_uS-X002Y019_Annotations
False Positive,316843,3,KPMP_uS-X002Y019_Annotations
True Negative,1437500,3,KPMP_uS-X002Y019_Annotations
True Positive,115661,3,KPMP_uS-X002Y019_Annotations
False Negative,144423,4,KPMP_uS-X002Y019_Annotations
False Positive,280750,4,KPMP_uS-X002Y019_Annotations
True Negative,1647412,4,KPMP_uS-X002Y019_Annotations
True Positive,1015,4,KPMP_uS-X002Y019_Annotations
False Negative,910930,1,KPMP_uS-X002Y021_Annotations
False Positive,35639,1,KPMP_uS-X002Y021_Annotations
True Negative,1104832,1,KPMP_uS-X002Y021_Annotations
True Positive,22199,1,KPMP_uS-X002Y021_Annotations
False Negative,283910,2,KPMP_uS-X002Y021_Annotations
False Positive,256991,2,KPMP_uS-X002Y021_Annotations
True Negative,1443379,2,KPMP_uS-X002Y021_Annotations
True Positive,89320,2,KPMP_uS-X002Y021_Annotations
False Negative,75410,3,KPMP_uS-X002Y021_Annotations
False Positive,553586,3,KPMP_uS-X002Y021_Annotations
True Negative,1441180,3,KPMP_uS-X002Y021_Annotations
