Counts,Freq,Cluster,Image
True Positive,17463,2,KPMP_uS-X002Y015_Annotations
False Negative,592573,3,KPMP_uS-X002Y015_Annotations
False Positive,59107,3,KPMP_uS-X002Y015_Annotations
True Negative,1111546,3,KPMP_uS-X002Y015_Annotations
True Positive,310374,3,KPMP_uS-X002Y015_Annotations
False Negative,214684,4,KPMP_uS-X002Y015_Annotations
False Positive,495845,4,KPMP_uS-X002Y015_Annotations
True Negative,1289933,4,KPMP_uS-X002Y015_Annotations
True Positive,73138,4,KPMP_uS-X002Y015_Annotations
False Negative,7517,5,KPMP_uS-X002Y015_Annotations
False Positive,187387,5,KPMP_uS-X002Y015_Annotations
True Negative,1855111,5,KPMP_uS-X002Y015_Annotations
True Positive,23585,5,KPMP_uS-X002Y015_Annotations
False Negative,750374,1,KPMP_uS-X002Y019_Annotations
False Positive,152501,1,KPMP_uS-X002Y019_Annotations
True Negative,621734,1,KPMP_uS-X002Y019_Annotations
True Positive,548991,1,KPMP_uS-X002Y019_Annotations
False Negative,198387,2,KPMP_uS-X002Y019_Annotations
False Positive,465729,2,KPMP_uS-X002Y019_Annotations
True Negative,1298331,2,KPMP_uS-X002Y019_Annotations
True Positive,111153,2,KPMP_uS-X002Y019_Annotations
False Negative,201064,3,KPMP_uS-X002Y019_Annotations
False Positive,274413,3,KPMP_uS-X002Y019_Annotations
True Negative,1479930,3,KPMP_uS-X002Y019_Annotations
True Positive,118193,3,KPMP_uS-X002Y019_Annotations
False Negative,1884,4,KPMP_uS-X002Y019_Annotations
False Positive,259066,4,KPMP_uS-X002Y019_Annotations
True Negative,1669096,4,KPMP_uS-X002Y019_Annotations
True Positive,143554,4,KPMP_uS-X002Y019_Annotations
False Negative,648792,1,KPMP_uS-X002Y021_Annotations
False Positive,204874,1,KPMP_uS-X002Y021_Annotations
True Negative,935597,1,KPMP_uS-X002Y021_Annotations
True Positive,284337,1,KPMP_uS-X002Y021_Annotations
False Negative,252195,2,KPMP_uS-X002Y021_Annotations
False Positive,356583,2,KPMP_uS-X002Y021_Annotations
True Negative,1343787,2,KPMP_uS-X002Y021_Annotations
True Positive,121035,2,KPMP_uS-X002Y021_Annotations
False Negative,37435,3,KPMP_uS-X002Y021_Annotations
False Positive,64248,3,KPMP_uS-X002Y021_Annotations
True Negative,1930518,3,KPMP_uS-X002Y021_Annotations
True Positive,41399,3,KPMP_uS-X002Y021_Annotations
False Negative,245409,4,KPMP_uS-X002Y021_Annotations
False Positive,221674,4,KPMP_uS-X002Y021_Annotations
True Negative,1450909,4,KPMP_uS-X002Y021_Annotations
True Positive,155608,4,KPMP_uS-X002Y021_Annotations
False Negative,24917,5,KPMP_uS-X002Y021_Annotations
False Positive,260545,5,KPMP_uS-X002Y021_Annotations
True Negative,1759830,5,KPMP_uS-X002Y021_Annotations
True Positive,28308,5,KPMP_uS-X002Y021_Annotations
False Negative,7010,6,KPMP_uS-X002Y021_Annotations
False Positive,107834,6,KPMP_uS-X002Y021_Annotations
True Negative,1731601,6,KPMP_uS-X002Y021_Annotations
True Positive,227155,6,KPMP_uS-X002Y021_Annotations
False Negative,398058,1,KPMP_uS-X003Y006_Annotations
False Positive,300004,1,KPMP_uS-X003Y006_Annotations
