Counts,Freq,Cluster,Image
False Positive,152501,1,KPMP_uS-X002Y019_Annotations
True Negative,621734,1,KPMP_uS-X002Y019_Annotations
True Positive,548991,1,KPMP_uS-X002Y019_Annotations
False Negative,198387,2,KPMP_uS-X002Y019_Annotations
False Positive,465729,2,KPMP_uS-X002Y019_Annotations
True Negative,1298331,2,KPMP_uS-X002Y019_Annotations
True Positive,111153,2,KPMP_uS-X002Y019_Annotations
False Negative,201064,3,KPMP_uS-X002Y019_Annotations
False Positive,274413,3,KPMP_uS-X002Y019_Annotations
True Negative,1479930,3,KPMP_uS-X002Y019_Annotations
True Positive,118193,3,KPMP_uS-X002Y019_Annotations
False Negative,1884,4,KPMP_uS-X002Y019_Annotations
False Positive,259066,4,KPMP_uS-X002Y019_Annotations
True Negative,1669096,4,KPMP_uS-X002Y019_Annotations
True Positive,143554,4,KPMP_uS-X002Y019_Annotations
False Negative,648308,1,KPMP_uS-X002Y021_Annotations
False Positive,205748,1,KPMP_uS-X002Y021_Annotations
True Negative,934723,1,KPMP_uS-X002Y021_Annotations
True Positive,284821,1,KPMP_uS-X002Y021_Annotations
False Negative,251621,2,KPMP_uS-X002Y021_Annotations
False Positive,359742,2,KPMP_uS-X002Y021_Annotations
True Negative,1340628,2,KPMP_uS-X002Y021_Annotations
True Positive,121609,2,KPMP_uS-X002Y021_Annotations
False Negative,37236,3,KPMP_uS-X002Y021_Annotations
False Positive,64700,3,KPMP_uS-X002Y021_Annotations
True Negative,1930066,3,KPMP_uS-X002Y021_Annotations
True Positive,41598,3,KPMP_uS-X002Y021_Annotations
False Negative,247031,4,KPMP_uS-X002Y021_Annotations
False Positive,219118,4,KPMP_uS-X002Y021_Annotations
True Negative,1453465,4,KPMP_uS-X002Y021_Annotations
True Positive,153986,4,KPMP_uS-X002Y021_Annotations
False Negative,24890,5,KPMP_uS-X002Y021_Annotations
False Positive,261662,5,KPMP_uS-X002Y021_Annotations
True Negative,1758713,5,KPMP_uS-X002Y021_Annotations
True Positive,28335,5,KPMP_uS-X002Y021_Annotations
False Negative,7102,6,KPMP_uS-X002Y021_Annotations
False Positive,105218,6,KPMP_uS-X002Y021_Annotations
True Negative,1734217,6,KPMP_uS-X002Y021_Annotations
True Positive,227063,6,KPMP_uS-X002Y021_Annotations
False Negative,398058,1,KPMP_uS-X003Y006_Annotations
False Positive,300004,1,KPMP_uS-X003Y006_Annotations
True Negative,668848,1,KPMP_uS-X003Y006_Annotations
True Positive,706690,1,KPMP_uS-X003Y006_Annotations
False Negative,303467,2,KPMP_uS-X003Y006_Annotations
False Positive,265001,2,KPMP_uS-X003Y006_Annotations
True Negative,979622,2,KPMP_uS-X003Y006_Annotations
True Positive,525510,2,KPMP_uS-X003Y006_Annotations
False Negative,48062,3,KPMP_uS-X003Y006_Annotations
False Positive,184582,3,KPMP_uS-X003Y006_Annotations
True Negative,1749143,3,KPMP_uS-X003Y006_Annotations
True Positive,91813,3,KPMP_uS-X003Y006_Annotations
